product_name,review,rating
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Reviewing after 2days of using Moto Edge 50pro (125W, 12gb RAM variant) -

Display - 10/10
Battery - 8/10
Camera - 8/10
Charging - 9/10

Pros -
Light weight, premiumness, flagship features

Cons-
Lots of heating issues while charging, booting, long time scrolling, Battery drains little quick as expected.

Charging speed(125W):
0-50% in 11min
0-80% in 20mins
0-100% in 29mins.

This phone is very good as per the specs provided. You can go for it. I hope heating issues will be resolved in futu...
READ MORE",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I have been using this mobile for the last 6 days and overall I am very Happy with this mobile.

1. Design: The design is very eye-catching and, feels very good and confident to hold in hand.

2. Camera: Camera set up is really awesome and best in this segment. I was impressed with the night photography. The best cameras.

3. Screen: Very impressive screen, eye comfort, and curved screen gives a very unique look to the phone.

4. Battery: Battery back is good for one full day by keeping th...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Very nice camera,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Just received my moto edge 50 pro yesterday. Look wise mobile is very good.
All accessories were in the box, although the back cover is kind of useless.
The 125W charger is charging mobile fast as advertised by moto.
As of now the performance looks great. Camera is great specially front camera. Colors are quite realistic.
I've given 4 star as of now, will update my review after few weeks of use.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Very Good Camera, Very fast charging speed but battery is little bit on lower side but enough for normal user. Nice design and very comfortable feel in hand. Over all good phone.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Do not believe the negative reviews. This is an amazing phone. I've switched from iPhone 11 and I'm in love with this already. I also got iPhone 14 plus for my wife but believe me this is much better than iPhone interms of display.

Display - 10/10 - The display is awesome. Crystal clear 1.5k resolution. The colours are punchy and lively. I'm using a 120Hz refresh rate and it's smooth as butter. Edge to edge display is really awesome. If I have to pick one thing about the phone then it's the...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","The beautiful beast is here!

Well, Moto has just nailed it. The first impressions are so good.

Beautiful:
1. The phone looks gorgeous in the hand.
2. Its slim and Bezel-less curved display makes it look ultra premium.
3. The back of the phone has got a velvet finish which makes it Scratch proof.

Beast:
1. The battery is insane. It lasted for 1.5 days easily for me with hotspot on and heavy usage. Moreover it charges completely in 30 min with the 125W charger given with the 12gb variant.

2...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",The camera is unbeatable. It's like you are buying a DSLR in just 35 k. Processor is up to the mark. Battery backup is also good. .It captures millions of colors and gives aesthetic pictures.,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Overall very decent product. Great work by Motorola team. Camera, display, design is very good. One can definitely go for buying it. Only observation is while charging with 125 watt charger,phone gets really heated up. Rest is fine. Ask me in case of any query.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","The design is good, the battery draining too fast, heating issues",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Light weight, premium design and great camera",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Super 😍💯,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Super camera
Love you moto....,..................",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",The phone is good but the Flipkart service is worse .,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Unique design. Moto has done a fabulous job.
Price really justifies it's specifications.

Unique Specifications-
1- . 125W fast charge.
2- IP68 rating.
3- Pantone validated camera and display.
4- 50W wireless charging.
5- 144hz display.
and many more..",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Phone is temperature 🌡️ high.
Using the phone first I noticed phone is heavy heating",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I love this phone ❤️👌
5*****❤️👌",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I'm Giving Honest Review After Using it For more than 8Day .. let meat after 1 month..
I am Mentioning the Cons First..
1. The Battery is not Efficient for a whole long day you have to charge it twice per day . If u are a normal user and use it on only a4g/lte network then u may use it for whole working day
But if u are heavy user u have a charge it minimum 2 times or may be 3 times . It totally depends up to your uses and needs

Pros... But u will get 80/125 watts fqst charging adapter so...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Better experience, 😉
Happy with this product.💜
Budget friendly.🤝.",5
